Participant,From,To,Duration,File,Function,Scenario,Something related to traffic,RPM,Speed,Brake,STD of interval time,eyes off the road (yes/no),Notes,Phone dimmed
P15,3113.5,3114.75,1.25,,forward/backward,urban, close to a turn moving slowly ,,,,,yes,backward function was activated ,No
P15,3115.55,3117.0,1.449999999999818,,forward/backward,urban,car was stopped before turn,,,,,yes,,No
P15,3129.0,3129.0,0.0,,pause/play,urban,car was stopped before turn,,,,,no,,No
P15,3131.0,3131.0,0.0,,pause/play,urban,car was stopped before turn,,,,,no,,No
P15,3145.0,3145.0,0.0,,forward/backward,urban,,,,,,no,,No
P15,3155.9,3156.75,0.849999999999909,,others,urban,,,,,,yes,looking at the phone,No
P15,3206.0,3206.0,0.0,,Vol-up/down,urban, close to a turn moving slowly ,,,,,No,"three swipe down, three swipe up",No
P15,3211.0,3211.0,0.0,,pause/play,urban,"car was stopped before turn",,,,,no,unsuccessful gesture,No
P15,3212.0,3212.0,0.0,,pause/play,urban,"car was stopped before turn",,,,,no,,No
P15,3220.0,3220.0,0.0,,pause/play,urban,at the intersection,,,,,no,unsuccessful gesture,No
P15,3221.0,3221.0,0.0,,pause/play,urban,at the intersection,,,,,no,,No
P15,3306.0,3306.0,0.0,,pause/play,urban,,,,,,No,,No
P18,2827.0,2827.0,0.0,,Vol-up/down,expressway,,,,,,no,five times swipe up - the song was paused,yes
P18,2831.9,2832.2,0.29999999999972715,,pause/play,expressway,,,,,,yes,looking at the phone for feedback before interaction -- the hand was still on the seat-belt,yes
P18,2833.5,2834.8,1.300000000000182,,pause/play,expressway,,,,,,yes,"looking at the phone for feedback after interaction--unsuccesul interaction, the hand was still on the seat-belt",yes
P18,2838.3,2840.1,1.7999999999997272,,pause/play,expressway,a car close on the other lane,,,,,yes,looking at the phone for feedback after interaction,yes
P18,2843.0,2843.0,0.0,,Vol-up/down,expressway,,,,,,no,two swipe up,yes
P18,2851.85,2852.85,1.0,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback after interaction,yes
P18,2856.0,2856.0,0.0,,Vol-up/down,expressway,,,,,,no,one swipe down,yes
P18,2858.6,2859.5,0.900000000000091,,others,expressway,,,,,,yes,looking at the phone,yes
P18,2938.0,2938.0,0.0,,forward/backward,expressway,,,,,,no,,yes
P18,3011.65,3013.0,1.349999999999909,,forward/backward,expressway,,,,,,yes,unsuccessful gesture,yes
P18,3014.0,3015.6,1.599999999999909,,Vol-up/down,expressway,,,,,,yes,three swipe up-volume was max,yes
P18,3017.15,3019.25,2.099999999999909,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback before and while interaction ,yes
P18,3021.05,3022.5,1.449999999999818,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback after interaction ,yes
P18,3028.0,3029.15,1.150000000000091,,Vol-up/down,expressway,,,,,,yes,"looking at the phone for feedback after interaction-confused about the range and looked at the seat-belt, before looking swiped for 5 times up",yes
P18,3034.0,3034.0,0.0,,Vol-up/down,expressway,,,,,,no,"He relied on audio feedback to adjust the volume and didnt look at the phone, swiped 7 times in total ( 2 or 3 swipe down and 5 or 4 swipes up) -- his swipe gesture was so short",yes
P18,3043.55,3045.8,2.25,,others,expressway,,,,,,yes,distracted by the error made on steering wheel sensors,yes
P18,3047.0,3049.0,2.0,,others,expressway,,,,,,yes,,yes
P18,3102.0,3102.0,0.0,,Vol-up/down,expressway,,,,,,no,one swipe up,yes
P18,3104.7,3105.25,0.5500000000001819,,others,expressway,deviated from the lane to right,,,,,yes,"looking at the phone, an error on stw",yes
